code;desc;type;height;misc
2448322;ΥΠΟΣΕΝΤΟΝΑ MR GRAND 60Χ90 15TEM;A;415;test
1414135;ΠΑΝΕΣ ΑΚΡΑΤΕΙΑΣ MR GRAND LARGE N3 12T;A;230;test
1970169;MR GRAND ΞΗΡΑ ΣΚΥΛ/ΦΗ ADULT MIX 10Κ;A;210;test
3000700;ΕΣΩΡΟΥΧΟ ΜΙΑΣ ΧΡ. MR GRAND LARGE Νο3 14Τ;A;187,2;test
2414548;ΧΑΡΤΙ ΚΟΥΖΙΝΑΣ MR GRAND DECO 800ΓΡ;A;180,8;test
2414548;ΧΑΡΤΙ ΚΟΥΖΙΝΑΣ MR GRAND DECO 800ΓΡ;A;180,8;test
2414548;ΧΑΡΤΙ ΚΟΥΖΙΝΑΣ MR GRAND DECO 800ΓΡ;A;180,8;test
2414548;ΧΑΡΤΙ ΚΟΥΖΙΝΑΣ MR GRAND DECO 800ΓΡ;A;180,8;test
3000643;ΕΣΩΡΟΥΧΟ ΜΙΑΣ ΧΡΗΣ MR GRAND MED Νο2 14Τ;A;177;test
1970227;MR GRAND ΞΗΡΑ ΓΑΤ/ΦΗ ADULT MIX 2Κ;A;157,5;test
1555515;ΜΑΝΤΗΛ ΝΤΕΜΑΚΙΓΙΑΖ MR GRAND NORMAL 30T;A;156;test
1970102;MR GRAND ΞΗΡΑ ΣΚΥΛ/ΦΗ ADULT MIX 3Κ;A;154;test
2010767;ΛΑΔΟΧΑΡΤΟ MR GRAND 10M;A;150;test
1970235;MR GRAND ΞΗΡΑ ΓΑΤ/ΦΗ KITTEN 2Κ;A;140;test
1970177;MR GRAND ΞΗΡΑ ΣΚΥΛ/ΦΗ ENERGY 10Κ;A;140;test
1970219;MR GRAND ΞΗΡΑ ΓΑΤ/ΦΗ ADULT 2Κ;A;129;test
3000700;ΕΣΩΡΟΥΧΟ ΜΙΑΣ ΧΡ. MR GRAND LARGE Νο3 14Τ;A;124,8;test
1970151;MR GRAND ΞΗΡΑ ΣΚΥΛ/ΦΗ ADULT 10Κ;A;112;test
3038395;ΜΑΛΑΚΤ MR GRAND ΑΝΘΗ ΛΕΒΑΝΤΑΣ 30ΜΕΖ 3L;A;111;test
3038411;ΜΑΛΑΚΤ MR GRAND ΑΝΘΗ ΑΝΟΙΞΗΣ 30ΜΕΖ 3L;A;111;test
1865963;ΜΑΝΤΗΛ ΝΤΕΜΑΚΙΓΙΑΖ MR GRAND SENSIT 30Τ;A;108;test
3139367;ΥΓΡΟ ΠΛΥΝΤ MR GRAND ΜΑΣΣΑΛΙΑΣ 2L;A;104,1;test
1970094;MR GRAND ΞΗΡΑ ΣΚΥΛ/ΦΗ ADULT 3Κ;A;104;test
710194;ΑΛΟΥΜΙΝΟΧΑΡΤΟ MR GRAND 20ΜΕΤΡΑ;A;99;test
3038338;ΜΑΛΑΚΤ MR GRAND ΑΝΘΗ ΛΕΒΑΝΤΑΣ 15ΜΕΖ 1,5L;A;96;test
